ISO3,country,bii_mean,bii_logit_mean,bii_logit_se,n_langs,log_n_langs
AFG,Afghanistan,0.7683753371238708,1.201237419758782,0.043946474986207476,53,3.970291913552122
ALB,Albania,0.6643248677253724,0.6826684392868776,0.007919364365640193,14,2.6390573296152584
DZA,Algeria,0.9704641819000244,3.4926914538077973,0.016703772196007605,24,3.1780538303479458
ASM,American Samoa,NA,NA,NA,1,0
AND,Andorra,0.8305001020431518,1.5898033271377467,0.021778675556172643,5,1.6094379124341003
AGO,Angola,0.7529336929321289,1.115783232302941,0.03816380761858312,53,3.970291913552122
AIA,Anguilla,NA,NA,NA,1,0
ATA,Antarctica,NA,NA,NA,NA,NA
ATG,Antigua & Barbuda,1,4.595119850134589,0,1,0
ARG,Argentina,0.7091531038284302,0.8913028105628612,0.005815324004630917,42,3.7376696182833684
ARM,Armenia,0.708558189868927,0.8886028151005464,0.015874081885299075,9,2.1972245773362196
ABW,Aruba,NA,NA,NA,3,1.0986122886681098
AUS,Australia,0.6964889287948608,0.8306579610497352,0.005542883843616726,479,6.171700597410915
AUT,Austria,0.7267414689064026,0.9781913575898428,0.006543417531389563,19,2.9444389791664403
AZE,Azerbaijan,0.7083055853843689,0.8872787216254041,0.011483331852981477,31,3.4339872044851463
BHS,Bahamas,0.9418407917022705,2.7847953218448156,0.008973895377265199,1,0
BHR,Bahrain,1,4.595119850134589,0,3,1.0986122886681098
BGD,Bangladesh,0.3716383397579193,-0.525219676586381,0.006977094388905099,52,3.9512437185814275
BRB,Barbados,0.9303577661514282,2.5926528829181588,0.016165845987782236,2,0.6931471805599453
BLR,Belarus,0.7649858355522156,1.1806982615776127,0.021436327799782218,15,2.70805020110221
BEL,Belgium,0.6462807774543762,0.6027794363216451,0.009179534545306187,12,2.4849066497880004
BLZ,Belize,0.9071240663528443,2.279106892369653,0.007508967323955402,7,1.9459101490553132
BEN,Benin,0.8480031728744507,1.7216333475621979,0.04318933219283648,57,4.04305126783455
BMU,Bermuda,NA,NA,NA,1,0
BTN,Bhutan,0.8322965264320373,1.6021959148124116,0.012403411785679254,32,3.4657359027997265
BOL,Bolivia,0.802971351146698,1.405148156876816,0.012131367378988909,69,4.23410650459726
BIH,Bosnia & Herzegovina,0.6951273918151856,0.8242633920167948,0.00895413199668649,9,2.1972245773362196
BWA,Botswana,0.8155952215194702,1.4916681680158599,0.06198136115197895,37,3.6109179126442243
BVT,Bouvet Island,NA,NA,NA,NA,NA
BRA,Brazil,0.755489981174469,1.1283608225976378,0.015661056738175798,338,5.823045895483019
IOT,British Indian Ocean Territory,NA,NA,NA,1,0
VGB,British Virgin Islands,NA,NA,NA,1,0
BRN,Brunei,0.9386027812957763,2.7274022680669967,0.0145529903741612,12,2.4849066497880004
BGR,Bulgaria,0.7187952160835266,0.938557446827086,0.008549764586429589,21,3.044522437723423
BFA,Burkina Faso,0.8377031564712525,1.6468410060220156,0.0641332701435358,83,4.418840607796598
BDI,Burundi,0.44734591245651245,-0.2114618629601104,0.017787494382981606,9,2.1972245773362196
KHM,Cambodia,0.7182961940765381,0.9361447801598078,0.011656669565145475,28,3.332204510175204
CMR,Cameroon,0.8476572632789612,1.7169512208294953,0.02088527251291294,314,5.749392985908253
CAN,Canada,0.9064529418945313,2.271117567066222,0.005146712383604662,104,4.6443908991413725
CPV,Cape Verde,0.992524528503418,4.664773124685573,0.08859919550649221,1,0
BES,Caribbean Netherlands,0.9755548119544983,3.686827525344811,0.011562779219948055,3,1.0986122886681098
CYM,Cayman Islands,NA,NA,NA,1,0
CAF,Central African Republic,0.9461514830589295,2.8699225018198375,0.04516321284974605,94,4.543294782270004
TCD,Chad,0.7909174680709838,1.3304947649714862,0.005094736981865833,144,4.969813299576001
CHL,Chile,0.8779406189918518,1.9730851680977992,0.003030031658169757,17,2.833213344056216
CHN,China,0.6358415961265564,0.5573893582265996,0.00729600970262135,434,6.073044534100405
CXR,Christmas Island,NA,NA,NA,1,0
COL,Colombia,0.720024561882019,0.9445870885087754,0.0020342932487647574,138,4.927253685157205
COM,Comoros,0.6352487921714782,0.5548012347387213,1.530277098578318e-4,5,1.6094379124341003
COG,Congo - Brazzaville,0.744356346130371,1.0692512897945008,0.023054395162899175,70,4.248495242049359
COD,Congo - Kinshasa,0.9362680554389954,2.6885049619820243,0.02719415593685318,234,5.455321115357702
COK,Cook Islands,NA,NA,NA,6,1.791759469228055
CRI,Costa Rica,0.6497326135635376,0.6178718236922366,0.0035933988882549403,16,2.772588722239781
